#,編號,中心,會員編號,會員姓名(中文),會員姓名(英文),會員類別,會費,付款方式,日期,撤銷,經辨人員
1,ES251106005,山景服務處|(S),MS251106005,,,學生會員,$20.00,PayPal,2025/11/6 17:23,,
2,ES251106004,山景服務處|(S),MS251106004,,,長者會員,$10.00,現金,2025/11/6 16:26,,
3,ES251106003,山景服務處|(S),MS251106003,,,家庭會員,$0.00,現金,2025/11/6 15:59,,
4,ES251106002,山景服務處|(S),MS251106002,,,家庭會員,$0.00,現金,2025/11/6 15:57,,
5,ES251106001,山景服務處|(S),MS251106001,,,家庭會員,$100.00,現金,2025/11/6 15:52,,
6,ES251101001,山景服務處|(S),MS251101001,,,學生會員,$20.00,FPS,2025/11/1 15:54,,
7,ES251031001,山景服務處|(S),MS251031001,,,長者會員,$0.00,現金,2025/10/31 14:23,,
8,ES251030003,山景服務處|(S),MS251030003,,,普通會員,$0.00,現金,2025/10/30 18:24,,
9,ES251030002,山景服務處|(S),MS251030002,,,普通會員,$0.00,現金,2025/10/30 17:42,,
10,ES251030001,山景服務處|(S),MS251030001,,,普通會員,$0.00,現金,2025/10/30 10:52,,
,,,,,,【總計】,$150.00,,,,
